Date,Equity,Cash,Npos
2023-01-02,50000.0,50000.0,0
2023-01-03,49739.58678308109,18875.50312009433,3
2023-01-04,48918.93474164585,18875.50312009433,3
2023-01-05,47182.1672614293,27460.611872025,3
2023-01-06,48064.3754456725,19657.145781823623,3
2023-01-09,47595.15192984055,24691.282754883272,3
2023-01-10,44132.60548288471,16272.310549565618,3
2023-01-11,41104.40628768937,6365.245681305099,3
2023-01-12,41539.23328451465,29622.31356100391,1
2023-01-13,41744.59337667774,29622.31356100391,1
2023-01-16,42233.83305410694,29622.31356100391,1
2023-01-17,42733.2653943974,12671.413809009218,3
2023-01-18,43511.12580925659,14393.131634299314,3
2023-01-19,44036.05415016846,14393.131634299314,3
2023-01-20,44359.8312955542,14393.131634299314,3
2023-01-23,44924.02714270291,17322.15618628201,3
2023-01-24,44721.42686554606,15840.763932196454,3
2023-01-25,45100.05691625558,19668.761630712772,3
2023-01-26,45007.97768499337,19668.761630712772,3
2023-01-27,44574.25636643055,19668.761630712772,3
2023-01-30,42783.45360633844,9538.902282288807,3
2023-01-31,41454.34452533159,9307.245887432826,3
2023-02-01,39951.74216441785,19921.001909697796,2
2023-02-02,39797.868915697414,39797.868915697414,0
2023-02-03,40420.412144562666,26563.912144562662,1
2023-02-06,40651.350678863324,4305.918636423547,3
2023-02-07,36441.82783580455,3636.3819332980347,3
2023-02-08,34173.62365286184,3636.3819332980347,3
2023-02-15,39626.01749846681,9179.678853962265,3
2023-02-16,41601.91700789674,9179.678853962265,3
2023-02-17,41718.65431687578,9179.678853962265,3
2023-02-20,42034.004307026655,13940.319150204446,3
2023-02-21,41875.02365008492,13940.319150204446,3
2023-02-22,41699.0561543926,20193.799396020604,3
2023-02-23,41677.76527673248,20193.799396020604,3
2023-02-24,41976.27433854584,20193.799396020604,3
2023-02-27,42851.09109002594,20193.799396020604,3
2023-02-28,42882.01465684418,20193.799396020604,3
2023-03-01,43787.42294961456,20193.799396020604,3
2023-03-02,43549.613571308495,20193.799396020604,3
2023-03-03,43752.304922245385,20193.799396020604,3
2023-03-06,44308.98665070403,25221.654682396533,3
2023-03-07,44435.27302720832,30514.039198345814,3
2023-03-08,44359.37273268387,32321.16378486638,3
2023-03-09,44375.3384182104,32321.16378486638,3
2023-03-10,43887.15439244593,32321.16378486638,3
2023-03-13,42930.383130949805,22184.87403575785,3
2023-03-14,41968.52150677247,21715.21061689261,3
2023-03-15,41720.40037596812,25545.06240014822,3
2023-03-16,41862.08484423747,25545.06240014822,3
2023-03-17,41462.65546795319,25545.06240014822,3
2023-03-20,41141.10672661256,25545.06240014822,3
2023-03-21,40795.77522977415,25493.52681954924,3
2023-03-22,41027.6824954373,25493.52681954924,3
2023-03-23,41339.35792827829,25493.52681954924,3
2023-03-24,41367.22006575488,25493.52681954924,3
2023-03-27,41165.66479937457,25493.52681954924,3
2023-03-28,40812.41105556711,25493.52681954924,3
2023-03-29,40986.300343515715,25493.52681954924,3
2023-03-30,40997.30424690469,25493.52681954924,3
2023-03-31,40799.309073768294,25493.52681954924,3
2023-04-03,40795.024561566344,25493.52681954924,3
2023-04-04,41120.43334992949,25493.52681954924,3
2023-04-05,41315.153511367476,25493.52681954924,3
2023-04-06,40528.4533809541,20304.742192637757,3
2023-04-07,40346.484087041856,20304.742192637757,3
2023-04-10,40876.403997472764,20304.742192637757,3
2023-04-11,40897.56389400545,20304.742192637757,3
2023-04-12,40986.74165476544,20304.742192637757,3
2023-04-13,41061.34682692273,20304.742192637757,3
2023-04-14,41343.41388326073,20304.742192637757,3
2023-04-17,40914.91610023561,20304.742192637757,3
2023-04-18,40932.44420438194,20304.742192637757,3
2023-04-19,40866.653393161134,20304.742192637757,3
2023-04-20,40504.142095617295,20304.742192637757,3
2023-04-24,40258.297501615525,20304.742192637757,3
2023-04-25,39798.582330755235,20304.742192637757,3
2023-04-26,39789.049419454575,20304.742192637757,3
2023-04-27,40348.27564340019,20304.742192637757,3
2023-04-28,39790.6941755257,24803.53901986698,2
2023-05-02,39517.249782049854,24803.53901986698,2
2023-05-03,39504.555775954716,12772.716023757452,2
2023-05-04,39231.771890444295,12717.972879213827,2
2023-05-05,39396.59941410243,25580.599414102428,1
2023-05-08,40367.79221938183,12442.832607012293,2
2023-05-09,41739.58435187065,2041.8244155379525,3
2023-05-10,41346.6308123171,5644.590564399923,3
2023-05-11,44508.44948735188,14353.283480309949,3
